Exchange,Description,Input_mol,Input_mM,init_conc,init_area,D_fec
EX_cpd24344_e0,Aluminum,,1000,"""NA""",5,0
EX_cpd09225_e0,Borate,,1000,"""NA""",5,0
EX_cpd00063_e0,Calcium,,1000,"""NA""",5,0
EX_cpd00099_e0,Chloride,,1000,"""NA""",5,0
EX_cpd00149_e0,Co as Cobalt,,1000,"""NA""",5,0
EX_cpd00058_e0,Copper,,1000,"""NA""",5,0
EX_cpd00552_e0,Fluorine,,1000,"""NA""",5,0
EX_cpd00534_e0,Iodide,,1000,"""NA""",5,0
EX_cpd10515_e0,Iron Fe2+,,0.0002,"""NA""",5,0
EX_cpd10516_e0,Iron Fe3+,,0.0002,"""NA""",5,0
EX_cpd00254_e0,Magnesium,,1000,"""NA""",5,0
EX_cpd00030_e0,Manganese,,1000,"""NA""",5,0
EX_cpd00244_e0,Nickel,,1000,"""NA""",5,0
EX_cpd00009_e0,P as Phosphate,,3.2,"""NA""",5,0
EX_cpd11632_e0,Photon hn,,1000,"""NA""",5,0
EX_cpd00205_e0,Potassium,,1000,"""NA""",5,0
EX_cpd00406_e0,S as HT,,5,"""NA""",5,0
EX_cpd00971_e0,Sodium,,1000,"""NA""",5,0
EX_cpd00034_e0,Zinc,,1000,"""NA""",5,0
EX_cpd00001_e0,Water,,1000,"""NA""",5,0
EX_cpd00011_e0,C as CO2,,2.29,"""NA""",5,0
EX_cpd00013_e0,N as ammonia,,0.0005,"""NA""",5,0
EX_cpd00209_e0,N as nitrate,,0.0005,"""NA""",5,0
EX_cpd00075_e0,N as nitrite,,0.0006,"""NA""",5,0
EX_cpd00007_e0,Oxygen,,0.28,"""NA""",5,0
EX_cpd00048_e0,S as Sulfate,,0.039,"""NA""",5,0
EX_cpd00239_e0,S as Sulfide (H2S),,0.01,"""NA""",5,0
EX_cpd00081_e0,S as Sulfite,,0.005,"""NA""",5,0
EX_cpd00268_e0,S as Thiosulfate,,0.005,"""NA""",5,0
EX_cpd00003_e0,Products,,0,"""NA""",5,0
EX_cpd00006_e0,Products,,0,"""NA""",5,0
EX_cpd00010_e0,Products,,0,"""NA""",5,0
EX_cpd00012_e0,Products,,0,"""NA""",5,0
EX_cpd00017_e0,Products,,0,"""NA""",5,0
EX_cpd00025_e0,Products,,0,"""NA""",5,0
EX_cpd00028_e0,Products,,0,"""NA""",5,0
EX_cpd00029_e0,Products,,0,"""NA""",5,0
EX_cpd00033_e0,Products,,0,"""NA""",5,0
EX_cpd00036_e0,Products,,0,"""NA""",5,0
EX_cpd00039_e0,Products,,0,"""NA""",5,0
EX_cpd00041_e0,Products,,0,"""NA""",5,0
EX_cpd00047_e0,Products,,0,"""NA""",5,0
EX_cpd00054_e0,Products,,0,"""NA""",5,0
EX_cpd00069_e0,Products,,0,"""NA""",5,0
EX_cpd00073_e0,Products,,0,"""NA""",5,0
EX_cpd00084_e0,Products,,0,"""NA""",5,0
EX_cpd00107_e0,Products,,0,"""NA""",5,0
EX_cpd00133_e0,Products,,0,"""NA""",5,0
EX_cpd00179_e0,Products,,0,"""NA""",5,0
EX_cpd00204_e0,Products,,0,"""NA""",5,0
EX_cpd00211_e0,Products,,0,"""NA""",5,0
EX_cpd00220_e0,Products,,0,"""NA""",5,0
EX_cpd00232_e0,Products,,0,"""NA""",5,0
EX_cpd00281_e0,Products,,0,"""NA""",5,0
EX_cpd00309_e0,Products,,0,"""NA""",5,0
EX_cpd00359_e0,Products,,0,"""NA""",5,0
EX_cpd00367_e0,Products,,0,"""NA""",5,0
EX_cpd00418_e0,Products,,0,"""NA""",5,0
EX_cpd01981_e0,Products,,0,"""NA""",5,0
EX_cpd11416_c0,Products,,0,"""NA""",5,0
EX_cpd01741_e0,ddca,,0,"""NA""",5,0
EX_cpd00067_e0,proton,,0.00001,"""NA""",5,0
