Exchange,Description,Input_mol,Input_mM,init_conc,init_area,D_fec,D_muc,D_omu,D_imu,D_inter,D_hum,A_fec,A_omu,A_imu,A_hum,A_inter,pde
EX_cpd24344_e0,Al+++,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd09693_e0,Ba2+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd24347_e0,Be++,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00063_e0,Ca2+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd01012_e0,Cd2+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd20624_e0,Chromium(III),,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00099_e0,Cl-,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00011_e0,CO2,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00149_e0,Co2+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd24363_e0,Cs+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00058_e0,Cu2+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00552_e0,F-,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd10515_e0,Fe2+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd10516_e0,fe3,,0.01,"""NA""",5,0,,,,,,,,,,,
EX_cpd00067_e0,H+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00001_e0,H2O,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00531_e0,Hg2+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00205_e0,K+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd26474_e0,La3+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd27384_e0,Li+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00254_e0,Mg2+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00030_e0,Mn2+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00971_e0,Na+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00013_e0,NH3,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00244_e0,Ni2+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00209_e0,Nitrate,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00075_e0,Nitrite,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00007_e0,Oxygen,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd04097_e0,Pb,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00009_e0,Phosphate,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd17321_e0,Rb+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00048_e0,Sulfate,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00081_e0,Sulfite,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd24365_e0,Tl+,,100,"""NA""",5,0,,,,,,,,,,,
EX_cpd00034_e0,Zn2+,,100,"""NA""",5,0,,,,,,,,,,,
